,sub_cluster,words,cluster
301,Rooms,porch,(Super cluster 15: Parts of Dwellings)
,,restroom,
,,aisle,
,,toilet,
302,Furniture,bed,(Super cluster 15: Parts of Dwellings)
303,Furniture,bench,(Super cluster 15: Parts of Dwellings)
304,Furniture,chair,(Super cluster 15: Parts of Dwellings)
305,Furniture,crib,(Super cluster 15: Parts of Dwellings)
306,Furniture,desk,(Super cluster 15: Parts of Dwellings)
307,Furniture,drawer,(Super cluster 15: Parts of Dwellings)
308,Furniture,seat,(Super cluster 15: Parts of Dwellings)
309,Furniture,table,(Super cluster 15: Parts of Dwellings)
310,Furniture,bookcase,(Super cluster 15: Parts of Dwellings)
311,Furniture,couch,(Super cluster 15: Parts of Dwellings)
312,Furniture,counter,(Super cluster 15: Parts of Dwellings)
313,Furniture,cradle,(Super cluster 15: Parts of Dwellings)
314,Furniture,cupboard,(Super cluster 15: Parts of Dwellings)
315,Furniture,playpen,(Super cluster 15: Parts of Dwellings)
316,Furniture,sofa,(Super cluster 15: Parts of Dwellings)
317,Furniture,stool,(Super cluster 15: Parts of Dwellings)
,,cabinet,
,,dresser,
,,screen,
318,Parts of a Home,door,(Super cluster 15: Parts of Dwellings)
319,Parts of a Home,floor,(Super cluster 15: Parts of Dwellings)
320,Parts of a Home,roof,(Super cluster 15: Parts of Dwellings)
321,Parts of a Home,stairs,(Super cluster 15: Parts of Dwellings)
322,Parts of a Home,wall,(Super cluster 15: Parts of Dwellings)
323,Parts of a Home,window,(Super cluster 15: Parts of Dwellings)
324,Parts of a Home,ceiling,(Super cluster 15: Parts of Dwellings)
325,Parts of a Home,doorstep,(Super cluster 15: Parts of Dwellings)
326,Parts of a Home,stair,(Super cluster 15: Parts of Dwellings)
327,Parts of a Home,staircase,(Super cluster 15: Parts of Dwellings)
328,Parts of a Home,stairway,(Super cluster 15: Parts of Dwellings)
329,Linens,blanket,(Super cluster 15: Parts of Dwellings)
330,Linens,cover,(Super cluster 15: Parts of Dwellings)
331,Linens,pillow,(Super cluster 15: Parts of Dwellings)
332,Linens,towel,(Super cluster 15: Parts of Dwellings)
333,Linens,bedspread,(Super cluster 15: Parts of Dwellings)
334,Linens,cushion,(Super cluster 15: Parts of Dwellings)
